Unnamed: 0.1,dj,location,timestamp,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness,pct_Positive,pct_Neutral,pct_Negative,face_count,reward,avg_motion_energy,peak_motion_energy
0,Marlon Hoffstadt,Melbourne,0,Klubbheads - Kickin' Hard (DJ Daddy Trance Extended Remix),288.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",148.9506378173828,364964.53125,1.14202082157135,G,minor,5329.7646484375,0.3846153846153846,0.4615384615384615,0.1538461538461538,13.0,0.33076535032775606,4.923429522707046,43.051231384277344
1,KETTAMA,London,0,Jump (Rushing mix)- Soul Mass Transit System,320.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",140.49623107910156,462075.65625,1.066279053688049,F#,minor,6242.490234375,0.3134328358208955,0.5671641791044776,0.1194029850746268,67.0,0.23762466831760543,2.469234300769172,63.2868766784668
2,Felix Da Housecat,Circus,0,Gino Soccio - Dancer ( ??? Remix),350.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.96114349365234,261485.53125,1.628826379776001,F,minor,4262.75146484375,0.3703703703703703,0.3333333333333333,0.2962962962962963,27.0,0.11620148795602035,2.405383024357607,52.59035110473633
3,Chase & Status,London,0,Chase & Status & Mozey ft. Sav'o & Horrid1 - On The Block,381.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",172.26551818847656,1851701.0,1.1600732803344729,G,minor,15822.408203125,0.1666666666666666,0.4166666666666667,0.4166666666666667,12.0,-0.13940290598729788,5.384710733187537,48.90787887573242
4,AZYR,Teletech,7,Smac U - The intro,102.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",155.1814422607422,64804.484375,1.0798448324203491,C,minor,1674.0771484375,0.28,0.44,0.28,25.0,0.03191801574587707,1.9611405114791973,40.69721984863281
5,Peggy Gou,Amsterdam,9,Masters At Work - The Ha Dance [Defected 2010],320.0,"Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube).mp3",123.02732849121094,146197.5,1.6002296209335327,Eb,major,2887.419189453125,0.2142857142857142,0.5,0.2857142857142857,14.0,0.029003031012059616,4.9423787308076355,44.56578063964844
6,Yaeji,New_York,15,Etude - Free Tempo,120.0,"Yaeji  Boiler Room New York - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yaeji  Boiler Room New York - Boiler Room (720p, h264).mp3",123.96084594726562,47272.890625,1.646094560623169,E,minor,1355.158935546875,0.0909090909090909,0.696969696969697,0.2121212121212121,33.0,0.04374802125221784,7.750215235021379,43.86886215209961
7,MInanokimochi,Tokyo,34,A. G. Cook - Xxoplex,50.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",80.31471252441406,9324.71875,0.9083544611930848,F#,minor,456.7262878417969,0.1111111111111111,0.5,0.3888888888888889,18.0,-0.1519561560068932,6.047177058679086,14.280900955200195
8,Yusuke Yukimatsu,Tokyo,45,100 gecs - Dumbest Girl Alive,168.0,"¥ØUUK€ ¥UK1MATU  Boiler Room Tokyo - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/¥ØUUK€ ¥UK1MATU  Boiler Room Tokyo - Boiler Room (720p, h264).mp3",152.97911071777344,145439.875,1.2964006662368774,F,major,2877.38525390625,0.1875,0.5625,0.25,32.0,0.021693491538150478,4.235808265480128,20.100767135620117
9,MInanokimochi,Tokyo,50,Lorenzi - Back To You,140.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",80.47028350830078,145139.3125,1.271958351135254,Bb,major,2873.39990234375,0.1904761904761904,0.5952380952380952,0.2142857142857142,84.0,0.13768871399426127,7.5995770480045985,47.38330841064453
10,Yung Singh,Melbourne,55,"Mura Masa, Erika de Casier - e-motions",193.0,"Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube).mp3",130.35275268554688,36719.1484375,1.2509769201278689,Bb,major,1144.13720703125,0.2385321100917431,0.5229357798165137,0.2385321100917431,109.0,0.06354487851717061,3.337323201655824,72.76399993896484
11,Fred Again..,London,70,Fred again.. & Swedish House Mafia - Not Alone (Intro Edit),90.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,94.37866973876952,12904.1357421875,1.1199631690979004,Eb,minor,567.7909545898438,0.2741935483870967,0.6048387096774194,0.1209677419354838,124.0,0.17584147860581384,1.556366749329142,8.513775825500488
12,Fred Again..,London,90,Fred again.. - Kammy (like I do),375.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,131.9851531982422,914032.8125,1.195185899734497,G,minor,9859.263671875,0.2558139534883721,0.6046511627906976,0.1395348837209302,43.0,0.20581187877419876,4.468138494715617,45.91560363769531
13,AZYR,Teletech,102,Ventur - Bring that beat (Alex Farell Remix),275.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",161.54547119140625,217389.75,1.1832597255706787,A,minor,3766.606689453125,0.24,0.61,0.15,100.0,0.19080596117434018,4.958668238020934,56.6092414855957
14,Yaeji,New_York,120,Freak Dub - Randomer,555.0,"Yaeji  Boiler Room New York - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yaeji  Boiler Room New York - Boiler Room (720p, h264).mp3",125.47635650634766,458342.15625,1.2167229652404783,F,minor,6208.6513671875,0.1923076923076923,0.7692307692307693,0.0384615384615384,26.0,0.2630333571930377,5.323362026445062,53.415225982666016
